s,forward,upward,foamSource,crestMask,dForwardDs,dUpwardDs,flowSpeed,breakingWeight
102.991,7.80845e-05,1.59858e-05,9.0981e-23,0,-1.38161e-05,-3.74367e-06,0,0
103.46,7.18555e-05,1.43215e-05,6.00754e-23,0,-1.2773e-05,-3.36951e-06,0,0
103.93,6.60981e-05,1.28238e-05,3.96001e-23,0,-1.18039e-05,-3.03113e-06,0,0
104.399,6.07786e-05,1.1477e-05,2.60584e-23,0,-1.09039e-05,-2.72528e-06,0,0
104.868,5.58656e-05,1.02664e-05,1.7118e-23,0,-1.00688e-05,-2.44908e-06,0,0
105.337,5.13298e-05,9.17874e-06,1.12253e-23,0,-9.2935e-06,-2.19964e-06,0,0
105.806,4.71445e-05,8.2022e-06,7.34869e-24,0,-8.57416e-06,-1.97449e-06,0,0
106.276,4.32837e-05,7.32584e-06,4.80258e-24,0,-7.90763e-06,-1.77151e-06,0,0
106.745,3.97238e-05,6.53978e-06,3.13323e-24,0,-7.28991e-06,-1.58856e-06,0,0
107.214,3.64427e-05,5.83511e-06,2.04062e-24,0,-6.71777e-06,-1.42375e-06,0,0
107.683,3.34198e-05,5.20371e-06,1.32674e-24,0,-6.188e-06,-1.27538e-06,0,0
108.153,3.06358e-05,4.63827e-06,8.61114e-25,0,-5.6977e-06,-1.14186e-06,0,0
108.622,2.80729e-05,4.13218e-06,5.57944e-25,0,-5.24414e-06,-1.02176e-06,0,0
109.091,2.57146e-05,3.67943e-06,3.60888e-25,0,-4.82471e-06,-9.13826e-07,0,0
109.56,2.35453e-05,3.27463e-06,2.33028e-25,0,-4.43712e-06,-8.16859e-07,0,0
110.029,2.15507e-05,2.91288e-06,1.50209e-25,0,-4.07897e-06,-7.29797e-07,0,0
110.499,1.97176e-05,2.58977e-06,9.66581e-26,0,-3.74816e-06,-6.5167e-07,0,0
110.968,1.80334e-05,2.30134e-06,6.20916e-26,0,-3.44286e-06,-5.81603e-07,0,0
111.437,1.64867e-05,2.04399e-06,3.98181e-26,0,-3.16114e-06,-5.18794e-07,0,0
111.906,1.50669e-05,1.8145e-06,2.54906e-26,0,-2.90132e-06,-4.62524e-07,0,0
112.375,1.37641e-05,1.60995e-06,1.62904e-26,0,-2.66178e-06,-4.12142e-07,0,0
112.845,1.25691e-05,1.42773e-06,1.0393e-26,0,-2.44099e-06,-3.67053e-07,0,0
113.314,1.14734e-05,1.2655e-06,6.6191e-27,0,-2.23764e-06,-3.26725e-07,0,0
113.783,1.04692e-05,1.12113e-06,4.20835e-27,0,-2.05041e-06,-2.90675e-07,0,0
114.252,9.54928e-06,9.92726e-07,2.67102e-27,0,-1.8781e-06,-2.58468e-07,0,0
114.721,8.7068e-06,8.7858e-07,1.69237e-27,0,-1.71958e-06,-2.29707e-07,0,0
115.191,7.9356e-06,7.77164e-07,1.07045e-27,0,-1.57378e-06,-2.0404e-07,0,0
115.66,7.22993e-06,6.87105e-07,6.75915e-28,0,-1.43978e-06,-1.81146e-07,0,0
116.129,6.58449e-06,6.07174e-07,4.26059e-28,0,-1.31667e-06,-1.60735e-07,0,0
116.598,5.99435e-06,5.36269e-07,2.68103e-28,0,-1.2036e-06,-1.4255e-07,0,0
117.067,5.45501e-06,4.73402e-07,1.68416e-28,0,-1.0998e-06,-1.26357e-07,0,0
117.537,4.96228e-06,4.17693e-07,1.05614e-28,0,-1.00453e-06,-1.11943e-07,0,0
118.006,4.51234e-06,3.68353e-07,6.61172e-29,0,-9.17158e-07,-9.91216e-08,0,0
118.475,4.10161e-06,3.24676e-07,4.13196e-29,0,-8.37053e-07,-8.77231e-08,0,0
118.944,3.72683e-06,2.86032e-07,2.57782e-29,0,-7.63642e-07,-7.75947e-08,0,0
119.413,3.38499e-06,2.5186e-07,1.60547e-29,0,-6.96385e-07,-6.85999e-08,0,0
119.883,3.07333e-06,2.21657e-07,9.98168e-30,0,-6.34792e-07,-6.06152e-08,0,0
120.352,2.78929e-06,1.94978e-07,6.19526e-30,0,-5.7842e-07,-5.35319e-08,0,0
120.821,2.53054e-06,1.71422e-07,3.83854e-30,0,-5.26843e-07,-4.72522e-08,0,0
121.29,2.2949e-06,1.50635e-07,2.37426e-30,0,-4.79679e-07,-4.16869e-08,0,0
121.76,2.0804e-06,1.32302e-07,1.46602e-30,0,-4.36555e-07,-3.67579e-08,0,0
122.229,1.88523e-06,1.16141e-07,9.03667e-31,0,-3.97147e-07,-3.23947e-08,0,0
122.698,1.70771e-06,1.01903e-07,5.56071e-31,0,-3.61159e-07,-2.85345e-08,0,0
123.167,1.54631e-06,8.9364e-08,3.41588e-31,0,-3.28298e-07,-2.51212e-08,0,0
123.636,1.39963e-06,7.83283e-08,2.09474e-31,0,-2.98309e-07,-2.21045e-08,0,0
124.106,1.26637e-06,6.86208e-08,1.28236e-31,0,-2.70951e-07,-1.94399e-08,0,0
124.575,1.14536e-06,6.00856e-08,7.83679e-32,0,-2.46001e-07,-1.70877e-08,0,0
125.044,1.03552e-06,5.25854e-08,4.78108e-32,0,-2.23261e-07,-1.50122e-08,0,0
125.513,9.3585e-07,4.59979e-08,2.91182e-32,0,-2.02543e-07,-1.31819e-08,0,0
125.982,8.45449e-07,4.02154e-08,1.77033e-32,0,-1.83676e-07,-1.15687e-08,0,0
126.452,7.63486e-07,3.51417e-08,1.07448e-32,0,-1.66498e-07,-1.01476e-08,0,0
126.921,6.89205e-07,3.06927e-08,6.51025e-33,0,-1.50865e-07,-8.89637e-09,0,0
127.39,6.21912e-07,2.67932e-08,3.93775e-33,0,-1.36647e-07,-7.79546e-09,0,0
127.859,5.60973e-07,2.33773e-08,2.37765e-33,0,-1.2372e-07,-6.82706e-09,0,0
128.328,5.05811e-07,2.03866e-08,1.4332e-33,0,-1.1197e-07,-5.97601e-09,0,0
128.798,4.55898e-07,1.77693e-08,8.62412e-34,0,-1.01297e-07,-5.22825e-09,0,0
129.267,4.10753e-07,1.54803e-08,5.18059e-34,0,-9.16042e-08,-4.57166e-09,0,0
129.736,3.69935e-07,1.34792e-08,3.10667e-34,0,-8.28053e-08,-3.99545e-09,0,0
130.205,3.33047e-07,1.17309e-08,1.85978e-34,0,-7.4823e-08,-3.49e-09,0,0
130.674,2.9972e-07,1.02042e-08,1.11143e-34,0,-6.75834e-08,-3.04698e-09,0,0
131.144,2.69625e-07,8.87156e-09,6.6307e-35,0,-6.10188e-08,-2.65879e-09,0,0
131.613,2.42459e-07,7.7091e-09,3.94899e-35,0,-5.50707e-08,-2.31883e-09,0,0
132.082,2.17946e-07,6.69553e-09,2.34784e-35,0,-4.96827e-08,-2.02129e-09,0,0
132.551,1.95836e-07,5.81229e-09,1.39348e-35,0,-4.4804e-08,-1.761e-09,0,0
133.021,1.75901e-07,5.04298e-09,8.25635e-36,0,-4.03882e-08,-1.53344e-09,0,0
133.49,1.57935e-07,4.37328e-09,4.88345e-36,0,-3.63929e-08,-1.33459e-09,0,0
133.959,1.41749e-07,3.79058e-09,2.8835e-36,0,-3.27801e-08,-1.16092e-09,0,0
134.428,1.27174e-07,3.28386e-09,1.69968e-36,0,-2.95143e-08,-1.00931e-09,0,0
134.897,1.14053e-07,2.84342e-09,1.00015e-36,0,-2.6564e-08,-8.77091e-10,0,0
135.367,1.02246e-07,2.46078e-09,5.87492e-37,0,-2.38986e-08,-7.61757e-10,0,0
135.836,9.1626e-08,2.12858e-09,3.44513e-37,0,-2.14911e-08,-6.61223e-10,0,0
136.305,8.20781e-08,1.84028e-09,2.01681e-37,0,-1.9319e-08,-5.73681e-10,0,0
136.774,7.34967e-08,1.59022e-09,1.17862e-37,0,-1.736e-08,-4.97473e-10,0,0
137.243,6.57871e-08,1.37344e-09,6.87604e-38,0,-1.55933e-08,-4.31162e-10,0,0
137.713,5.88638e-08,1.18562e-09,4.00456e-38,0,-1.40005e-08,-3.73492e-10,0,0
138.182,5.26488e-08,1.02295e-09,2.32822e-38,0,-1.25657e-08,-3.23371e-10,0,0
138.651,4.70719e-08,8.82159e-10,1.35129e-38,0,-1.12735e-08,-2.79831e-10,0,0
